BC_SKU,BC_Name,BC_Price,Supplier,Supplier_SKU,Supplier_Name,Cost_Price,RRP,Stock,Match_Type,Reviewed
UN - ANW30,Antipodes Hallelujah Lime & Patchouli Nourishing Cleanser 200ml,46,uhp,ANW30,Hallelujah Lime & Patchouli Nourishing Cleanser,23,46,,sku_prefix,FALSE
UN - ANW32,Antipodes Grapeseed Butter Cleanser 75g,53,uhp,ANW32,Grapeseed Butter Cleanser,26.5,53,,sku_prefix,FALSE
OB - AIFPER,Antipodes Facial Polish & Exfoliator Reincarnation 75ml,40,uhp,ANW34,Reincarnation Pure Facial Polish & Exfoliator,23,46,,barcode,FALSE
UN - ANW36,Antipodes Aura Manuka Honey Mask MINI 15ml,18,uhp,ANW36,Aura Manuka Honey Mask MINI,9,18,,sku_prefix,FALSE
OB - AIMHMA,Antipodes Aura Manuka Honey Mask 75ml,50,uhp,ANW38,Aura Manuka Honey Mask,25,50,,barcode,FALSE
UN - ANW40,Antipodes Halo Skin-Brightening Facial Mud Mask MINI 15ml,18,uhp,ANW40,Halo Skin-Brightening Facial Mud Mask MINI,9,18,,sku_prefix,FALSE
UN - ANW42,Antipodes Halo Skin-Brightening Facial Mud Mask 75ml,50,uhp,ANW42,Halo Skin-Brightening Facial Mud Mask,25,50,,sku_prefix,FALSE
UN - ANW44,Antipodes Eve Bio-Retinol Line Reduction Serum 30ml,59,uhp,ANW44,Eve Bio-Retinol Line Reduction Serum,29.5,59,,sku_prefix,FALSE
UN - ANW46,Antipodes Divine Rosehip & Avocado Oil Face Oil MINI 10ml,19,uhp,ANW46,Divine Rosehip & Avocado Oil Face Oil MINI,9.5,19,,sku_prefix,FALSE
UN - ANW48,Antipodes Divine Rosehip & Avocado Oil Face Oil 30ml,46,uhp,ANW48,Divine Rosehip & Avocado Oil Face Oil,23,46,,sku_prefix,FALSE
UN - ANW50,Antipodes Kiwi Seed Oil Eye Cream 30ml,68,uhp,ANW50,Kiwi Seed Oil Eye Cream,34,68,,sku_prefix,FALSE
UN - ANW52,Antipodes Vanilla Pod Hydrating Day Cream MINI 15ml,18,uhp,ANW52,Vanilla Pod Hydrating Day Cream MINI,9,18,,sku_prefix,FALSE
UN - ANW54,Antipodes Vanilla Pod Hydrating Day Cream 60ml,62,uhp,ANW54,Vanilla Pod Hydrating Day Cream,31,62,,sku_prefix,FALSE
UN - ANW56,Antipodes Rejoice Light Facial Day Cream 60ml,62,uhp,ANW56,Rejoice Light Facial Day Cream,31,62,,sku_prefix,FALSE
UN - ANW57,Antipodes Lime Caviar Collagen-Rich Firming Cream MINI 15ml,18,uhp,ANW57,Lime Caviar Collagen-Rich Firming Cream MINI,9,18,,sku_prefix,FALSE
UN - ANW58,Antipodes Lime Caviar Collagen-Rich Firming Cream 60ml,62,uhp,ANW58,Lime Caviar Collagen-Rich Firming Cream,31,62,,sku_prefix,FALSE
UN - ANW60,Antipodes Avocado Pear Nourishing Night Cream MINI 15ml,18,uhp,ANW60,Avocado Pear Nourishing Night Cream MINI,9,18,,sku_prefix,FALSE
UN - ANW62,Antipodes Avocado Pear Collagen-Boosting Night Cream 60ml,70,uhp,ANW62,Avocado Pear Collagen-Boosting Night Cream,35,70,,sku_prefix,FALSE
UN - ANW64,Antipodes Nirvana Hand & Body Wash 500ml,42,uhp,ANW64,Nirvana Hand & Body Wash,21,42,,sku_prefix,FALSE
UN - ANW72,Antipodes Ananda H2O Ultra-Hydrating Calming Mist  100ml,38,uhp,ANW72,Ananda H2O Ultra-Hydrating Calming Mist ,19,38,,sku_prefix,FALSE
UN - ANW76,Antipodes Hosanna Collagen-Plumping Water Serum 30ml,54,uhp,ANW76,Hosanna Collagen-Plumping Water Serum,27,54,,sku_prefix,FALSE
UN - ANW78,Antipodes Maya Hyaluronic 72-Hour Hydration Serum 30ml,54,uhp,ANW78,Maya Hyaluronic 72-Hour Hydration Serum,27,54,,sku_prefix,FALSE
UN - ANW80,Antipodes Anoint H2O De-Puffing Eye Gel 30ml,59,uhp,ANW80,Anoint H2O De-Puffing Eye Gel,29.5,59,,sku_prefix,FALSE
UN - ANW82,Antipodes Baptise H2O Ultra-Hydrating Water Gel MINI 15ml,17,uhp,ANW82,Baptise H2O Ultra-Hydrating Water Gel MINI,8.5,17,,sku_prefix,FALSE
UN - ANW84,Antipodes Baptise H2O Ultra-Hydrating Water Gel 60ml,52,uhp,ANW84,Baptise H2O Ultra-Hydrating Water Gel,26,52,,sku_prefix,FALSE
UN - ANW86,Antipodes Harmony Hyaluronic Manuka Honey Night Cream 60ml,62,uhp,ANW86,Harmony Hyaluronic Manuka Honey Night Cream,31,62,,sku_prefix,FALSE
UN - ANW90,Antipodes Grace Gentle Cream Cleanser & Makeup Remover 120ml,48,uhp,ANW90,Grace Gentle Cream Cleanser & Makeup Remover,24,48,,sku_prefix,FALSE
UN - ANW92,Antipodes Juliet Anti-Blemish Gel Cleanser 200ml,46,uhp,ANW92,Juliet Anti-Blemish Gel Cleanser,23,46,,sku_prefix,FALSE
UN - ANW96,Antipodes Credo Probiotic Anti-Blemish Serum 30ml,59,uhp,ANW96,Credo Probiotic Anti-Blemish Serum,29.5,59,,sku_prefix,FALSE
UN - ANW98,Antipodes Flora Probiotic Skin-Rescue Hyaluronic Mask 75ml,50,uhp,ANW98,Flora Probiotic Skin-Rescue Hyaluronic Mask,25,50,,sku_prefix,FALSE
UN - AO06,Amazing Oils Ugly Bits Stick 15ml,39.95,uhp,AO06,Blemish Correction Ugly Bits Stick,22.7,39.95,,sku_prefix,FALSE
UN - AO07,Amazing Oils Magnesium Moisturiser Fix My Face 100g,49.95,uhp,AO07,Magnesium Moisturiser Fix My Face,28.38,49.95,,sku_prefix,FALSE
UN - AO27,Amazing Oils Magnesium Body Lotion Body Repair 200ml,29.95,uhp,AO27,Magnesium Body Lotion Body Repair,17.02,29.95,,sku_prefix,FALSE
UN - AO30,Amazing Oils Magnesium Daily Gel Roll-On 60ml,19.95,uhp,AO30,Magnesium Daily Gel Pure Magnesium Gel Roll-On,11.34,19.95,,sku_prefix,FALSE
UN - AO31,Amazing Oils Magnesium Daily Spray 125ml,24.95,uhp,AO31,Magnesium Daily Spray Pure Magnesium Oil,14.18,24.95,,sku_prefix,FALSE
UN - AO32,Amazing Oils Magnesium Daily Spray 200ml,29.95,uhp,AO32,Magnesium Daily Spray Pure Magnesium Oil,17.02,29.95,,sku_prefix,FALSE
UN - AO33,Amazing Oils Magnesium Oil 1 Litre,99.95,uhp,AO33,Magnesium Daily Spray Refill Pure Magnesium Oil,56.79,99.95,,sku_prefix,FALSE
UN - AO34,Amazing Oils Magnesium Bath Flakes 800g,19.95,uhp,AO34,Magnesium Daily Bath Flakes Pure Magnesium Chloride,11.34,19.95,,sku_prefix,FALSE
UN - AO35,Amazing Oils Magnesium Bath Flakes Magnesium Chloride 2kg,39.95,uhp,AO35,Magnesium Daily Bath Flakes Pure Magnesium Chloride,22.7,39.95,,sku_prefix,FALSE
UN - AO36,Amazing Oils Magnesium Daily Bath Flakes 5kg,89.95,uhp,AO36,Magnesium Daily Bath Flakes Pure Magnesium Chloride,51.11,89.95,,sku_prefix,FALSE
UN - AO41,Amazing Oils Prevent Magnesium Deficiency Sensitive Spray 200ml,37.95,uhp,AO41,Magnesium Sensitive Spray,21.56,37.95,,sku_prefix,FALSE
UN - VR130,Vrindavan Tongue Cleaner Stainless Steel x 1,7.95,uhp,VR130,Tongue Cleaner Stainless Steel,4.52,7.95,,sku_prefix,FALSE
UN - AO42,Amazing Oils Epsom Salts Detox Bath Soak Pure Magnesium Sulphate 1kg,14.95,uhp,AO42,Epsom Salts Detox Bath Soak Pure Magnesium Sulphate,8.49,14.95,,sku_prefix,FALSE
UN - AO43,Amazing Oils Epsom Salts Detox Bath Soak Pure Magnesium Sulphate 3kg,29.95,uhp,AO43,Epsom Salts Detox Bath Soak Pure Magnesium Sulphate,17.02,29.95,,sku_prefix,FALSE
UN - AO60,Amazing Oils Magnesium Sleep Lotion Lavender & Chamomile 125ml,34.95,uhp,AO60,Magnesium Sleep Lotion with Lavender & Chamomile,19.86,34.95,,sku_prefix,FALSE
UN - AO62,Amazing Oils Magnesium Sleep Bath Flakes Lavender & Chamomile 800g,24.95,uhp,AO62,Magnesium Sleep Bath Flakes with Lavender & Chamomile,14.18,24.95,,sku_prefix,FALSE
OB - CHXAS,Chandrika Ayurvedic Soap 75g,1.68,oborne,CHXAS,CHANDRIKA AYURVEDIC SOAP 75G ,1.14,1.68,4177,sku_prefix,FALSE
OB - TT2CJCHAIT,Tea Tonic Display Cone Jar Chai Traditional Empty ,32.27,oborne,TT2CJCHAIT,TEA TONIC DISPLAY CONE JAR ** OBSOLETE MANUFACTURER **,22,32.27,,sku_prefix,FALSE
