Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
uhp,ANW72,Ananda H2O Ultra-Hydrating Calming Mist ,Antipodes,9421900569892,19,38,,"Body & Beauty, Cyber Sale"
uhp,ANW76,Hosanna Collagen-Plumping Water Serum,Antipodes,9421900569786,27,54,,"Body & Beauty, Cyber Sale"
uhp,ANW77,Maya Hyaluronic 72-Hour Hydration Serum MINI,Antipodes,9421908105283,9.5,19,,Body & Beauty
uhp,ANW78,Maya Hyaluronic 72-Hour Hydration Serum,Antipodes,9421907387697,27,54,,"Body & Beauty, Christmas, Cyber Sale"
uhp,ANW80,Anoint H2O De-Puffing Eye Gel,Antipodes,9421907387062,29.5,59,,"Body & Beauty, Cyber Sale"
uhp,ANW82,Baptise H2O Ultra-Hydrating Water Gel MINI,Antipodes,9421906730470,8.5,17,,Body & Beauty
uhp,ANW86,Harmony Hyaluronic Manuka Honey Night Cream,Antipodes,9421903925428,31,62,,"Body & Beauty, Cyber Sale"
uhp,ANW90,Grace Gentle Cream Cleanser & Makeup Remover,Antipodes,9421900569960,24,48,,"Body & Beauty, Cyber Sale"
uhp,VR120,Organic Cotton Tips,Vrindavan,731722043715,5.09,8.95,,"Body & Beauty, Cyber Sale"
uhp,ANW96,Credo Probiotic Anti-Blemish Serum,Antipodes,9421906730807,29.5,59,,"Body & Beauty, Cyber Sale"
uhp,ANW98,Flora Probiotic Skin-Rescue Hyaluronic Mask,Antipodes,9421906120189,25,50,,"Body & Beauty, Cyber Sale"
uhp,AO06,Blemish Correction Ugly Bits Stick,Amazing Oils,021808439571,22.7,39.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO07,Magnesium Moisturiser Fix My Face,Amazing Oils,021808439588,28.38,49.95,,"Body & Beauty, Cyber Sale, Mega Sale"
uhp,AO112,Magnesium Sleep Lotion with Lavender & Chamomile,Amazing Oils,9354150000924,28.38,49.95,,"Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO114,Magnesium Joint Gel,,9354150001297,14.18,24.95,,"Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO116,Magnesium Joint Lotion,Amazing Oils,9354150001303,19.86,34.95,,"Christmas, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO118,Magnesium Joint Lotion,Amazing Oils,9354150001310,28.38,49.95,,"Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO120,Magnesium Joint Bath Flakes,Amazing Oils,9354150001327,14.18,24.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO122,Magnesium Joint Bath Flakes,Amazing Oils,9354150001334,28.38,49.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO27,Magnesium Body Lotion Body Repair,Amazing Oils,9354150000436,17.02,29.95,,"Body & Beauty, Cyber Sale, Mega Sale, Natural Remedies"
uhp,AO28,Magnesium Sleep Gel,Amazing Oils,9354150001341,14.18,24.95,,"Christmas, Cyber Sale, Mega Sale, Natural Remedies"
