id,from_path,target_type,target_destination,target_entity_id,category,site_id
7388,/giovanni-2hic-brazilian-keratin-argan-oil-conditioner-250ml/,product,Product ID: 6100,6100,standard-product,1000
7390,/intensive-hair-mask-2chic-purple-150ml-by-giovanni/,product,Product ID: 7700,7700,standard-product,1000
7391,/giovanni-2chic-tangerine-and-papaya-shampoo-250ml/,product,Product ID: 6433,6433,standard-product,1000
7392,/2chic-shampoo-250ml-by-giovanni/,product,Product ID: 1371,1371,standard-product,1000
7393,/2chic-leave-in-elixir-118ml-by-giovanni-1/,product,Product ID: 6101,6101,standard-product,1000
7394,/hair-oil-serum-2chic-purple-81ml-by-giovanni/,product,Product ID: 7701,7701,standard-product,1000
7395,/giovanni-2chic-conditioner/,product,Product ID: 6434,6434,standard-product,1000
7396,/2chic-hair-spray-147ml-by-giovanni/,product,Product ID: 6102,6102,standard-product,1000
7400,/la-hold-hair-spray-65ml-by-giovanni/,product,Product ID: 1337,1337,standard-product,1000
7401,/giovanni-2chic-shampoo-mini-44ml/,product,Product ID: 8237,8237,standard-product,1000
7402,/50-50-conditioner-60-ml-by-giovanni/,product,Product ID: 1328,1328,standard-product,1000
7403,/smooth-conditioner-60-ml-by-giovanni/,product,Product ID: 1330,1330,standard-product,1000
7404,/giovanni-tea-tree-triple-conditioner-60ml/,product,Product ID: 1331,1331,standard-product,1000
7405,/50-50-shampoo-60-ml-by-giovanni/,product,Product ID: 1332,1332,standard-product,1000
7406,/smooth-shampoo-60-ml-by-giovanni/,product,Product ID: 1333,1333,standard-product,1000
7411,/organic-apricot-kernels-500-grams-by-apricot-kernels/,product,Product ID: 678,678,standard-product,1000
7412,/apricot-kernels-1-kg-by-apricot-kernels/,product,Product ID: 677,677,standard-product,1000
7422,/black-cherry-juice-organic-946-ml-by-lakewood/,product,Product ID: 4254,4254,standard-product,1000
7426,/chick-peas-organic-500-grams-by-lotus/,product,Product ID: 5472,5472,standard-product,1000
7429,/cookies-choc-chip/,product,Product ID: 5502,5502,standard-product,1000
7443,/dishwashing-liquid-fragrance-free/,product,Product ID: 5520,5520,standard-product,1000
7448,/soap-pure-ground-1kg-herbon/,product,Product ID: 7445,7445,standard-product,1000
7466,/yeast-brewers/,product,Product ID: 6695,6695,standard-product,1000
7485,/sea-salt-macrobiotic-fine-6x1-kg-by-lotus/,product,Product ID: 6617,6617,standard-product,1000
7489,/lentils-green-organic-250-grams-by-lotus/,product,Product ID: 5609,5609,standard-product,1000
7501,/soap-powder-fragrance-free/,product,Product ID: 5754,5754,standard-product,1000
7522,/vitamin-e-oil-15675iu-15-ml-by-lotus/,product,Product ID: 5852,5852,standard-product,1000
